id,lesson_id,part,group_number,title,passage,knowledge,display_order,created_at,updated_at
1,1,5,1,Part 5 - Incomplete Sentence 001,,Từ loại: Danh từ đứng sau mạo từ,1,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
2,1,5,2,Part 5 - Incomplete Sentence 002,,Từ loại: Tính từ đứng trước danh từ,2,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
3,1,5,3,Part 5 - Incomplete Sentence 003,,Từ loại: Trạng từ bổ nghĩa cho động từ,3,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
4,1,5,4,Part 5 - Incomplete Sentence 004,,Từ loại: Danh từ đứng sau tính từ sở hữu,4,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
5,1,5,5,Part 5 - Incomplete Sentence 005,,Từ loại: Tính từ đứng sau động từ liên kết (linking verb),5,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
6,1,5,6,Part 5 - Incomplete Sentence 006,,Từ loại: Trạng từ đứng trước tính từ,6,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
7,1,5,7,Part 5 - Incomplete Sentence 007,,Từ loại: Danh từ làm chủ ngữ,7,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
8,1,5,8,Part 5 - Incomplete Sentence 008,,Từ loại: Tính từ đứng sau động từ to be,8,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
9,1,5,9,Part 5 - Incomplete Sentence 009,,Từ loại: Danh từ đứng sau giới từ,9,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
10,1,5,10,Part 5 - Incomplete Sentence 010,,Từ loại: Trạng từ bổ nghĩa cho tính từ,10,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
11,1,5,11,Part 5 - Incomplete Sentence 011,,Sự hòa hợp giữa chủ ngữ và động từ,11,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
12,1,5,12,Part 5 - Incomplete Sentence 012,,Sự hòa hợp giữa chủ ngữ và động từ,12,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
13,1,5,13,Part 5 - Incomplete Sentence 013,,Sự hòa hợp giữa chủ ngữ và động từ,13,2026-08-10 11:31:21.892622,2026-08-10 11:31:21.892622
